feature,mean_importance
SSO:000010300,-0.0003592993491672358
SSO:000010857,-0.0003586610266329227
SSO:000044159,-0.00035757866480093934
SSO:000007096,-0.00035715669979033415
SSO:000007699,-0.0003570759495317044
SSO:000001076,-0.00035706607861312747
SSO:000025068,-0.00035602562193676743
SSO:000020518,-0.00035489244596779713
SSO:000009109,-0.00035347702304808215
SSO:000020789,-0.00035342599505817083
SSO:000017074,-0.0003489275648377144
SSO:000029796,-0.000348498481405346
SSO:000043513,-0.0003465741089863139
SSO:000000945,-0.00034638100374273506
SSO:000001182,-0.0003458805900200312
SSO:000012151,-0.00034561349400543117
SSO:000012146,-0.0003454485914154648
SSO:000007202,-0.00034526794780677107
SSO:000002811,-0.0003444844921713597
SSO:000000813,-0.00034199882111362044
SSO:000029028,-0.00034150127729027925
SSO:000007180,-0.00034143711704844314
SSO:000000543,-0.0003388380565238325
SSO:000012149,-0.000338786104811406
SSO:000012210,-0.0003381941076475659
SSO:000025253,-0.0003380911613583004
SSO:000000406,-0.00033804969984644326
SSO:000005791,-0.0003374399209285006
SSO:000021084,-0.00033623002408976753
SSO:000016732,-0.00033535356656415604
SSO:000000464,-0.00033426136507475057
SSO:000012080,-0.00033346154661907933
SSO:000021793,-0.00033321626006791447
SSO:000019395,-0.0003331475838362685
SSO:000002839,-0.000330983550126196
SSO:000029337,-0.00033038485643993587
SSO:000007701,-0.000327945333175067
SSO:000008620,-0.0003279363363798748
SSO:000006834,-0.000326595688528214
SSO:000006040,-0.0003254191021864028
SSO:000011545,-0.0003252242961526153
SSO:000017589,-0.0003250154543621431
SSO:000010533,-0.00032451264908542885
SSO:000043727,-0.0003228813007071896
SSO:000002797,-0.00032269712817963313
SSO:000025597,-0.00032091282627805804
SSO:000043066,-0.00032052007024434005
SSO:000002077,-0.0003204459341864474
SSO:000001940,-0.0003197743246568907
SSO:000005809,-0.000319332943487699
SSO:000024105,-0.00031887116430942
SSO:000025595,-0.00031782884954550397
SSO:000021634,-0.00031709328277517714
SSO:000013035,-0.0003166790401348485
SSO:000012629,-0.0003143788642474388
SSO:000034830,-0.0003136076817211564
SSO:000007693,-0.00031282023414902493
SSO:000024315,-0.000311678253800729
SSO:000000167,-0.0003111372913992494
SSO:000008042,-0.00030920521117067665
SSO:000043994,-0.00030837993268789665
SSO:000012057,-0.00030772610317248984
SSO:000010058,-0.00030724471926901753
SSO:000025571,-0.00030682485479908707
SSO:000029597,-0.00030667178393301573
SSO:000003006,-0.00030664549998115633
SSO:000000212,-0.00030572124990421723
SSO:000001222,-0.00030567812087213265
SSO:000007707,-0.0003045841847010955
SSO:000013473,-0.0003044464744407338
SSO:000009756,-0.00030420018184925123
SSO:000010813,-0.00030372189251280933
SSO:000003484,-0.0003034206251422367
SSO:000024110,-0.00030312869640365393
SSO:000025030,-0.0003031272297677523
SSO:000043071,-0.00030312342627804024
SSO:000003108,-0.0003030020172980208
SSO:000042727,-0.00030292800492724427
SSO:000002148,-0.0003017472443874236
SSO:000035923,-0.00030173388925450184
SSO:000028900,-0.00029890102252864146
SSO:000009443,-0.00029786080793774985
SSO:000012004,-0.0002972074338612574
SSO:000001295,-0.00029713228081091334
SSO:000012845,-0.0002969277037216833
SSO:000030104,-0.0002958754277889386
SSO:000007700,-0.0002958128972591456
SSO:000011997,-0.0002953832980411131
SSO:000016592,-0.00029496568683534674
SSO:000000925,-0.00029438342308992784
SSO:000007068,-0.0002940248226352193
SSO:000039893,-0.00029332829611626864
SSO:000042678,-0.00029183464969803066
SSO:000037093,-0.00029172839799988527
SSO:000024292,-0.00029143309660988325
SSO:000021119,-0.00029136486202973043
SSO:000012964,-0.0002904194269831739
SSO:000013391,-0.000289692586335083
SSO:000042222,-0.00028884880453498575
SSO:000007148,-0.00028703351949297963
SSO:000019030,-0.0002865200119841815
SSO:000017550,-0.0002862486582751733
SSO:000018739,-0.00028615745052229524
SSO:000012759,-0.00028540006275853404
SSO:000001103,-0.00028488244754543146
SSO:000017850,-0.0002848734660301777
SSO:000010090,-0.00028369245933246854
SSO:000031406,-0.0002830820508939569
SSO:000004190,-0.00028262704985621554
SSO:000020269,-0.00028260715580169515
SSO:000042503,-0.00028258077799145354
SSO:000010702,-0.0002809037194322239
SSO:000004710,-0.00028071558240011507
SSO:000043309,-0.0002806262202838805
SSO:000001005,-0.00028036811085755395
SSO:000012359,-0.0002803631051734756
SSO:000000281,-0.0002793580893819536
SSO:000013154,-0.0002788020529038204
SSO:000008600,-0.0002765900854433068
SSO:000001077,-0.0002754573598596155
SSO:000012584,-0.00027437279085763545
SSO:000005953,-0.00027307231099129025
SSO:000029992,-0.0002717054926198004
SSO:000000722,-0.00027075696929816374
SSO:000000115,-0.00027006878889415664
SSO:000008961,-0.0002700052371840733
SSO:000043378,-0.0002693775040331581
SSO:000016903,-0.0002687169235392084
SSO:000003519,-0.0002681070408705022
SSO:000021696,-0.0002679432863296305
SSO:000012533,-0.00026608112494889145
SSO:000008887,-0.00026541359237280406
SSO:000005483,-0.00026466182327874457
SSO:000006904,-0.0002641899850943652
SSO:000038753,-0.00026233678338749014
SSO:000003163,-0.0002619929823449274
SSO:000018792,-0.0002618592700185607
SSO:000030067,-0.00026155723677620535
SSO:000007111,-0.0002603446392560493
SSO:000000917,-0.0002599057533838156
SSO:000010371,-0.0002594725313550095
SSO:000043229,-0.0002583728356336357
SSO:000002929,-0.0002573975204289092
SSO:000003209,-0.00025711289790939504
SSO:000001475,-0.00025678601942646375
SSO:000002765,-0.00025677935429249123
SSO:000005239,-0.00025623020652534856
SSO:000001469,-0.00025553964413356777
SSO:000002791,-0.00025506313144292304
SSO:000043497,-0.00025487235804650397
SSO:000037110,-0.00025435634711383216
SSO:000032555,-0.00025330041048621796
SSO:000001563,-0.0002522527492516302
SSO:000002793,-0.0002520236597595593
SSO:000009089,-0.0002517399204899573
SSO:000029781,-0.0002513785368308596
SSO:000036322,-0.000251209658762569
SSO:000029569,-0.0002510896464246848
SSO:000017332,-0.00025108553312043757
SSO:000025627,-0.0002501423849158968
SSO:000029108,-0.0002501020436046442
SSO:000001995,-0.00024981108648624016
SSO:000011113,-0.00024815566413532444
SSO:000033511,-0.0002475615360995498
SSO:000022951,-0.0002468168504911938
SSO:000039114,-0.00024642281790229206
SSO:000018959,-0.00024630766508293434
SSO:000008083,-0.0002457906346013283
SSO:000013151,-0.00024490654243883856
SSO:000002447,-0.0002445175219838003
SSO:000007162,-0.0002445012358368914
SSO:000012473,-0.00024419304833282475
SSO:000029181,-0.0002441911912247241
SSO:000001303,-0.00024409195868569934
SSO:000020210,-0.00024337231027644625
SSO:000021723,-0.00024289153852482536
SSO:000029372,-0.00024287210744580178
SSO:000004170,-0.00024269957509721052
SSO:000005654,-0.00024039505037976583
SSO:000018454,-0.00023969079186693664
SSO:000037528,-0.0002396758856841319
SSO:000021678,-0.00023950533384112794
SSO:000007095,-0.0002383504758755317
SSO:000029025,-0.00023818200886236985
SSO:000000563,-0.0002380924686185393
SSO:000021897,-0.00023807339656848893
SSO:000012169,-0.0002379484601571724
SSO:000005794,-0.00023779502587335523
SSO:000008616,-0.00023737390632162515
SSO:000003185,-0.0002373324502991936
SSO:000002090,-0.00023716448418564795
SSO:000019296,-0.0002371537843877558
SSO:000021791,-0.00023676248292140434
SSO:000036573,-0.00023557994525367777
SSO:000026225,-0.00023520681916023857
SSO:000021359,-0.00023475842152154147
SSO:000002702,-0.00023313067130210086
SSO:000035126,-0.00023301956580623617
SSO:000020988,-0.00023228952617798115
SSO:000002935,-0.00023002709559271639
SSO:000008068,-0.00022957155847137535
SSO:000013147,-0.0002290432474443327
SSO:000033641,-0.00022821366740092275
SSO:000024013,-0.0002280188128964189
SSO:000006915,-0.00022742200408109036
SSO:000007072,-0.00022695394671014556
SSO:000029105,-0.00022693496377825805
SSO:000009741,-0.0002263334164754327
SSO:000043998,-0.00022626645863944584
SSO:000016911,-0.00022581446444032703
SSO:000005273,-0.0002254336138100721
SSO:000012808,-0.00022542587460583352
SSO:000007145,-0.00022522901315596421
SSO:000017262,-0.00022484244445668543
SSO:000002963,-0.00022447590331275413
SSO:000021549,-0.0002241988738683087
SSO:000029953,-0.00022400769014402355
SSO:000008605,-0.00022397446265365884
SSO:000018206,-0.00022360628498912515
SSO:000005789,-0.00022302414501193524
SSO:000042612,-0.00022292980501272263
SSO:000002897,-0.0002229259451884291
SSO:000025067,-0.00022271430433124518
SSO:000043268,-0.00022192008028016353
SSO:000012037,-0.00022183600288712136
SSO:000029327,-0.00022163358839908943
SSO:000024257,-0.0002214379613683093
SSO:000024900,-0.00022073101831510122
SSO:000008606,-0.00022022872271736937
SSO:000021790,-0.00022017611641810263
SSO:000033769,-0.00021994171885904578
SSO:000019412,-0.00021972616103788645
SSO:000021548,-0.00021954634429300346
SSO:000003486,-0.0002194967444484608
SSO:000000936,-0.00021918302000539235
SSO:000043392,-0.000219070266457988
SSO:000020490,-0.00021887491283268946
SSO:000008628,-0.00021855916009132502
SSO:000005482,-0.00021854948450454327
SSO:000001157,-0.0002185233785373164
SSO:000044033,-0.0002184495515061502
SSO:000001419,-0.0002179338068283021
SSO:000020611,-0.00021792792094389447
SSO:000003118,-0.00021769127846605897
SSO:000000149,-0.0002176905799190776
SSO:000006908,-0.0002175885255500054
SSO:000002072,-0.00021698015741397625
SSO:000003129,-0.00021652341986752588
SSO:000000298,-0.00021639744850486807
SSO:000009296,-0.0002162677310715455
SSO:000003910,-0.0002154379326151479
SSO:000002792,-0.0002150355529225434
SSO:000004069,-0.0002145498306809379
SSO:000029173,-0.0002143346438860716
SSO:000022681,-0.00021378170560991118
SSO:000000594,-0.0002137633848260434
SSO:000013094,-0.00021323632901954493
SSO:000008105,-0.00021281971717619917
SSO:000039420,-0.00021274258165588367
SSO:000021837,-0.00021267905506550667
SSO:000042733,-0.00021204216291395572
SSO:000012765,-0.00021181823813412048
SSO:000007780,-0.00021155805050712128
SSO:000008041,-0.00021093800942009744
SSO:000006362,-0.0002107867552790077
SSO:000001158,-0.00021004921136734135
SSO:000006895,-0.0002095287404033197
SSO:000029792,-0.0002088336675739433
SSO:000017597,-0.00020864246780473162
SSO:000000826,-0.00020828108914197063
SSO:000033632,-0.00020787833630572238
SSO:000000280,-0.00020768405419955283
SSO:000028910,-0.00020721214392050992
SSO:000000624,-0.00020701716048888153
SSO:000003328,-0.0002060946827909249
SSO:000035545,-0.00020540080296536646
SSO:000002618,-0.00020504182522441128
SSO:000000975,-0.00020484144530621417
SSO:000013044,-0.00020353414051568763
SSO:000012779,-0.0002021611307785054
SSO:000043984,-0.00020081254703406825
SSO:000010156,-0.00020031188354156516
SSO:000001193,-0.00019896553696155395
SSO:000020357,-0.00019877276386239817
SSO:000007075,-0.00019857016119467218
SSO:000010295,-0.00019856352516668397
SSO:000035962,-0.00019846298030473664
SSO:000016934,-0.0001973796704310138
SSO:000006903,-0.0001971543454252156
SSO:000033125,-0.00019655410461282273
SSO:000036646,-0.00019648544864947493
SSO:000005487,-0.00019597976170605548
SSO:000008141,-0.0001947976014154751
SSO:000002028,-0.00019443875189694703
SSO:000036507,-0.00019347516598747228
SSO:000001513,-0.0001933185073851984
SSO:000017006,-0.00019312809148325783
SSO:000008860,-0.0001921838892246952
SSO:000010823,-0.00019209626809283398
SSO:000009961,-0.00019194976935527075
SSO:000024103,-0.00019158347127050114
SSO:000042548,-0.0001912756022550477
SSO:000004945,-0.00019101801874715218
SSO:000020504,-0.00019057929554545662
SSO:000021301,-0.00019038362435130907
SSO:000000919,-0.00018976543026839044
SSO:000019419,-0.0001894325446476275
SSO:000025721,-0.00018936625215217328
SSO:000017756,-0.00018909029343566752
SSO:000005968,-0.00018891650653261595
SSO:000043754,-0.00018881663579327633
SSO:000033044,-0.00018853040677772604
SSO:000025160,-0.00018789024493063856
SSO:000021523,-0.00018769303387929925
SSO:000043940,-0.00018709464661982865
SSO:000000609,-0.00018659376415045004
SSO:000008686,-0.00018656950388289405
SSO:000020884,-0.00018581942204668467
SSO:000042555,-0.00018577504638742637
SSO:000024558,-0.0001853024845725526
SSO:000003445,-0.00018515669414608248
SSO:000019607,-0.0001850468181386622
SSO:000012002,-0.00018453770438380812
SSO:000025054,-0.0001835795293938014
SSO:000006305,-0.00018356221842719678
SSO:000007801,-0.00018355774162147066
SSO:000012503,-0.00018333070461047375
SSO:000007862,-0.0001832696811839729
SSO:000002820,-0.00018296913531314906
SSO:000039892,-0.0001824001902489103
SSO:000001095,-0.00018218581053621173
SSO:000002078,-0.00018218242216135882
SSO:000012393,-0.00018208408708166867
SSO:000007089,-0.00018197937542943076
SSO:000029496,-0.00018185451336210633
SSO:000024007,-0.00018172223139535372
SSO:000003352,-0.00018135812579566645
SSO:000037105,-0.00018132709290837878
SSO:000042940,-0.00018110357724419047
SSO:000001198,-0.0001808561022534849
SSO:000026732,-0.0001808520038277528
SSO:000018921,-0.00018011390480178192
SSO:000009472,-0.00017972774777900714
SSO:000021670,-0.0001794852773454314
SSO:000008897,-0.00017924815171143637
SSO:000001043,-0.00017826258272857776
SSO:000002957,-0.00017819953187145354
SSO:000001417,-0.00017775488404589423
SSO:000006959,-0.00017759082092924094
SSO:000009614,-0.0001773591467483182
SSO:000008045,-0.0001766162275227745
SSO:000002117,-0.0001764285386112452
SSO:000037230,-0.00017619243887168624
SSO:000038754,-0.00017613482433560536
SSO:000025538,-0.00017592844800169428
SSO:000012607,-0.00017527902556968566
SSO:000001468,-0.00017464873750542843
SSO:000043375,-0.00017452427597682284
SSO:000012628,-0.00017436249675677472
SSO:000010856,-0.00017422519942331683
SSO:000012646,-0.00017419595977624658
SSO:000018474,-0.00017343796024356096
SSO:000005271,-0.00017261642574471493
SSO:000030064,-0.00017254394317986477
SSO:000010751,-0.00017215255372671212
SSO:000000525,-0.0001720830025213449
SSO:000018768,-0.0001718913048858295
SSO:000021664,-0.00017167181062404112
SSO:000010848,-0.00017164867196549637
SSO:000005958,-0.00017154667394351787
SSO:000037106,-0.00017142679163865138
SSO:000030852,-0.00017139899214769217
SSO:000037107,-0.0001703864818405454
SSO:000025208,-0.00017033273601153588
SSO:000000870,-0.00016992380469371682
SSO:000029125,-0.00016948265807127937
SSO:000009703,-0.00016856167486430372
SSO:000022348,-0.0001682702646539358
SSO:000009126,-0.00016821126960659405
SSO:000001279,-0.00016793864764966804
SSO:000021599,-0.00016699316231115203
SSO:000025852,-0.0001666515216276143
SSO:000031407,-0.00016628959526457932
SSO:000018960,-0.00016599757121278923
SSO:000021298,-0.00016550360485315108
SSO:000024678,-0.00016547190791614265
SSO:000012386,-0.00016539478129983797
SSO:000001471,-0.00016449979235145796
SSO:000003433,-0.00016414983857077626
SSO:000030905,-0.00016352382080284667
SSO:000016590,-0.00016343141310834475
SSO:000007612,-0.0001633571345781626
SSO:000031325,-0.00016296660844710152
SSO:000013134,-0.0001628175214908878
SSO:000002249,-0.00016221768867394904
SSO:000035189,-0.00016202599075569314
SSO:000017367,-0.00016175287611826515
SSO:000006580,-0.00016138397919645552
SSO:000000002,-0.00016134789593216792
SSO:000025998,-0.00016087426167796793
SSO:000016827,-0.00016050387793102306
SSO:000020170,-0.00016011252923716634
SSO:000010516,-0.00015966494385336039
SSO:000002255,-0.00015956698108391955
SSO:000000920,-0.00015926738643651795
SSO:000043918,-0.0001591730527347901
SSO:000009809,-0.0001585767138911509
SSO:000000749,-0.00015808583783169516
SSO:000024125,-0.00015738848058890475
SSO:000010833,-0.00015713068917260208
SSO:000030058,-0.00015653527310086068
SSO:000031442,-0.00015626679576044022
SSO:000037091,-0.0001560529757869633
