feature,mean_importance
SSO:000036684,0.0
SSO:000029327,0.0
SSO:000018458,0.0
SSO:000001723,0.0
SSO:000025639,0.0
SSO:000029941,0.0
SSO:000023999,0.0
SSO:000025037,0.0
SSO:000024898,0.0
SSO:000023997,0.0
SSO:000021345,0.0
SSO:000024550,0.0
SSO:000012882,0.0
SSO:000024245,0.0
SSO:000025720,0.0
SSO:000042985,0.0
SSO:000004608,0.0
SSO:000000422,0.0
SSO:000025253,0.0
SSO:000026016,0.0
SSO:000009632,0.0
SSO:000017360,0.0
SSO:000012875,0.0
SSO:000030910,0.0
SSO:000036119,0.0
SSO:000005060,0.0
SSO:000019154,0.0
SSO:000010408,0.0
SSO:000010833,0.0
SSO:000037092,0.0
SSO:000012979,0.0
SSO:000010606,0.0
SSO:000016630,0.0
SSO:000029043,0.0
SSO:000020503,0.0
SSO:000039513,0.0
SSO:000010281,0.0
SSO:000020529,0.0
SSO:000020268,0.0
SSO:000000156,0.0
SSO:000010604,0.0
SSO:000031387,0.0
SSO:000012646,0.0
SSO:000002196,0.0
SSO:000018656,0.0
SSO:000017613,0.0
SSO:000012280,0.0
SSO:000037287,0.0
SSO:000018572,0.0
SSO:000012725,0.0
SSO:000020279,0.0
SSO:000016774,0.0
SSO:000012289,0.0
SSO:000008628,0.0
SSO:000029912,0.0
SSO:000013534,0.0
SSO:000018777,0.0
SSO:000007452,0.0
SSO:000021400,0.0
SSO:000019365,0.0
SSO:000005112,0.0
SSO:000005858,0.0
SSO:000025561,0.0
SSO:000044142,0.0
SSO:000011961,0.0
SSO:000030067,0.0
SSO:000042404,0.0
SSO:000021409,0.0
SSO:000023536,0.0
SSO:000034018,0.0
SSO:000008892,0.0
SSO:000030123,0.0
SSO:000005474,0.0
SSO:000018781,0.0
SSO:000012450,0.0
SSO:000017462,0.0
SSO:000020652,0.0
SSO:000012491,0.0
SSO:000010673,0.0
SSO:000010095,0.0
SSO:000025993,0.0
SSO:000032149,0.0
SSO:000043848,0.0
SSO:000021696,0.0
SSO:000021042,0.0
SSO:000024661,0.0
SSO:000024013,0.0
SSO:000035117,0.0
SSO:000037035,0.0
SSO:000013259,0.0
SSO:000004473,0.0
SSO:000021317,0.0
SSO:000024548,0.0
SSO:000043500,0.0
SSO:000043541,0.0
SSO:000007690,0.0
SSO:000002802,0.0
SSO:000002321,0.0
SSO:000012521,0.0
SSO:000007651,0.0
SSO:000013633,0.0
SSO:000011988,0.0
SSO:000010270,0.0
SSO:000009872,0.0
SSO:000013053,0.0
SSO:000019240,0.0
SSO:000038973,0.0
SSO:000005296,0.0
SSO:000005792,0.0
SSO:000001517,0.0
SSO:000003174,0.0
SSO:000009761,0.0
SSO:000019374,0.0
SSO:000010224,0.0
SSO:000021593,0.0
SSO:000020451,0.0
SSO:000036062,0.0
SSO:000038897,0.0
SSO:000017661,0.0
SSO:000033766,0.0
SSO:000020490,0.0
SSO:000019998,0.0
SSO:000006847,0.0
SSO:000036376,0.0
SSO:000007090,0.0
SSO:000029422,0.0
SSO:000030945,0.0
SSO:000023723,0.0
SSO:000036896,0.0
SSO:000017841,0.0
SSO:000019544,0.0
SSO:000000376,0.0
SSO:000000686,0.0
SSO:000020565,0.0
SSO:000006910,0.0
SSO:000013393,0.0
SSO:000010226,0.0
SSO:000003528,0.0
SSO:000012044,0.0
SSO:000022635,0.0
SSO:000018969,0.0
SSO:000025648,0.0
SSO:000029863,0.0
SSO:000018636,0.0
SSO:000033825,0.0
SSO:000018768,0.0
SSO:000021407,0.0
SSO:000031428,0.0
SSO:000044065,0.0
SSO:000043507,0.0
SSO:000017443,0.0
SSO:000024210,0.0
SSO:000007697,0.0
SSO:000003127,0.0
SSO:000019249,0.0
SSO:000036461,0.0
SSO:000026050,0.0
SSO:000025765,0.0
SSO:000007699,0.0
SSO:000034055,0.0
SSO:000019043,0.0
SSO:000004699,0.0
SSO:000017325,0.0
SSO:000018865,0.0
SSO:000009335,0.0
SSO:000019535,0.0
SSO:000043754,0.0
SSO:000000900,0.0
SSO:000021642,0.0
SSO:000006211,0.0
SSO:000010503,0.0
SSO:000013366,0.0
SSO:000022725,0.0
SSO:000000896,0.0
SSO:000026233,0.0
SSO:000003129,0.0
SSO:000012459,0.0
SSO:000019247,0.0
SSO:000043493,0.0
SSO:000029110,0.0
SSO:000012584,0.0
SSO:000003103,0.0
SSO:000010166,0.0
SSO:000042316,0.0
SSO:000004631,0.0
SSO:000018449,0.0
SSO:000001798,0.0
SSO:000006902,0.0
SSO:000041601,0.0
SSO:000012035,0.0
SSO:000001382,0.0
SSO:000036247,0.0
SSO:000020125,0.0
SSO:000017202,0.0
SSO:000010819,0.0
SSO:000037084,0.0
SSO:000001874,0.0
SSO:000012684,0.0
SSO:000025516,0.0
SSO:000025325,0.0
SSO:000019271,0.0
SSO:000016911,0.0
SSO:000000414,0.0
SSO:000010200,0.0
SSO:000007783,0.0
SSO:000017975,0.0
SSO:000025158,0.0
SSO:000009076,0.0
SSO:000033689,0.0
SSO:000042954,0.0
SSO:000042599,0.0
